LGA_CODE_2016,sex,Age,income,pop,pop_pct
LGA55740,P,TOT$,NEG_NIL,792,5.460939116
LGA55810,P,TOT$,NEG_NIL,23,2.929936306
LGA55880,P,TOT$,NEG_NIL,31,3.708133971
LGA55950,P,TOT$,NEG_NIL,23,2.637614679
LGA56090,P,TOT$,NEG_NIL,3047,4.834129238
LGA56160,P,TOT$,NEG_NIL,12,4.597701149
LGA56230,P,TOT$,NEG_NIL,1392,5.13368984
LGA56300,P,TOT$,NEG_NIL,76,3.374777975
LGA56370,P,TOT$,NEG_NIL,45,3.348214286
LGA56460,P,TOT$,NEG_NIL,375,4.592211609
LGA56580,P,TOT$,NEG_NIL,1970,5.817902602
LGA56620,P,TOT$,NEG_NIL,45,1.871101871
LGA56730,P,TOT$,NEG_NIL,716,3.969838102
LGA56790,P,TOT$,NEG_NIL,208,3.701726286
LGA56860,P,TOT$,NEG_NIL,20,4.819277108
LGA56930,P,TOT$,NEG_NIL,215,8.110147114
LGA57000,P,TOT$,NEG_NIL,41,3.838951311
LGA57080,P,TOT$,NEG_NIL,2225,5.386235445
LGA57140,P,TOT$,NEG_NIL,76,3.993694167
LGA57210,P,TOT$,NEG_NIL,345,4.113509002
LGA57280,P,TOT$,NEG_NIL,971,4.393665158
